OBJECTID,plz,ags,ort,landkreis,bundesland,einwohner,note,SHAPE_Length,SHAPE_Area
2360,65812,06436001,Bad Soden,Main-Taunus-Kreis,Hessen,21203,65812 Bad Soden am Taunus,29653.3760324678,30547456.6230302
2361,61440,06434008,Oberursel,Hochtaunuskreis,Hessen,44125,61440 Oberursel (Taunus),65824.4472863309,112699144.197956
2362,68305,08222000,Mannheim,,Baden-Württemberg,28397,68305 Mannheim,30968.3349066345,35333478.693682
2363,33739,05711000,Bielefeld,,Nordrhein-Westfalen,23203,33739 Bielefeld,54110.3169377456,92562315.9051324
2364,68766,08226032,Hockenheim,Rhein-Neckar-Kreis,Baden-Württemberg,20773,68766 Hockenheim,49900.8655008026,82373229.5585462
2365,78078,08326041,Niedereschach,Schwarzwald-Baar-Kreis,Baden-Württemberg,5825,78078 Niedereschach,44071.6164624595,74225978.8962992
2366,72280,08237019,Dornstetten,Landkreis Freudenstadt,Baden-Württemberg,7916,72280 Dornstetten,52031.7449959537,55021084.7910041
2367,35576,06532023,Wetzlar,Lahn-Dill-Kreis,Hessen,12386,35576 Wetzlar,27719.3570326688,22693203.4564933
2368,68163,08222000,Mannheim,,Baden-Württemberg,22041,68163 Mannheim,32241.820355745,23843479.0796098
2369,27243,03458001,Beckeln,Landkreis Oldenburg,Niedersachsen,11055,"27243 Harpstedt, GroÃŸ Ippener, Colnrade u.a.",154786.330996815,578506887.684767
2370,75335,08235018,Dobel,Landkreis Calw,Baden-Württemberg,2143,75335 Dobel,34906.2285041656,42261236.3466052
2371,59929,05958012,Brilon,Hochsauerlandkreis,Nordrhein-Westfalen,25962,59929 Brilon,138783.079289844,588095332.722104
2372,68161,08222000,Mannheim,,Baden-Württemberg,12183,68161 Mannheim,11168.9760740962,2859890.47359202
2373,35578,06532023,Wetzlar,Lahn-Dill-Kreis,Hessen,17825,35578 Wetzlar,40860.8315832349,46311734.775692
2374,68782,08226009,Brühl,Rhein-Neckar-Kreis,Baden-Württemberg,13776,68782 BrÃ¼hl,33794.761446057,31335742.904081
2375,35586,06532023,Wetzlar,Lahn-Dill-Kreis,Hessen,3401,35586 Wetzlar,19314.3251417323,13588585.2565965
2376,35580,06532023,Wetzlar,Lahn-Dill-Kreis,Hessen,3497,35580 Wetzlar,19473.7586213588,14804605.1666385
2377,76229,08212000,Karlsruhe,,Baden-Württemberg,9607,76229 Karlsruhe,32566.6256380578,34958660.9300921
2378,75334,08236072,Straubenhardt,Enzkreis,Baden-Württemberg,10655,75334 Straubenhardt,44679.4963303715,76296544.7213097
2379,33154,05774032,Paderborn,Kreis Paderborn,Nordrhein-Westfalen,24511,33154 Salzkotten,127138.156098748,287265590.945916
2380,78176,08326005,Blumberg,Schwarzwald-Baar-Kreis,Baden-Württemberg,9981,78176 Blumberg,95820.4238273857,219006439.371245
2381,65451,06433007,Kelsterbach,Kreis Groß-Gerau,Hessen,13315,65451 Kelsterbach,35138.2403163364,37034624.84826
2382,72175,08325012,Dornhan,Landkreis Rottweil,Baden-Württemberg,6141,72175 Dornhan,73263.2232721191,101727874.879842
2383,68167,08222000,Mannheim,,Baden-Württemberg,22711,68167 Mannheim,15561.9684819446,10397426.4509756
2384,72285,08237054,Pfalzgrafenweiler,Landkreis Freudenstadt,Baden-Württemberg,7083,72285 Pfalzgrafenweiler,63006.1516353531,101841963.76366
2385,68165,08222000,Mannheim,,Baden-Württemberg,18090,68165 Mannheim,14650.0713477861,9235670.64388134
2386,61267,06434007,Neu-Anspach,Hochtaunuskreis,Hessen,14710,61267 Neu-Anspach,45901.1778985899,86267523.0616493
2387,65835,06436010,Liederbach,Main-Taunus-Kreis,Hessen,8688,65835 Liederbach am Taunus,21645.2721595094,15139633.6789009
2388,33142,05774016,Büren,Kreis Paderborn,Nordrhein-Westfalen,21749,33142 BÃ¼ren,126989.064220109,441644916.419053
2389,65931,06412000,Frankfurt am Main,,Hessen,20603,65931 Frankfurt am Main,29617.4976328123,23284512.8491631
2390,35116,06635014,Hatzfeld,Landkreis Waldeck-Frankenberg,Hessen,3086,35116 Hatzfeld,60072.9491036941,147512855.65879
2391,33659,05711000,Bielefeld,,Nordrhein-Westfalen,20010,33659 Bielefeld,51618.6980302787,76138871.5841908
2392,78658,08325069,Zimmern ob Rottweil,Landkreis Rottweil,Baden-Württemberg,5810,78658 Zimmern ob Rottweil,56729.6990075718,75837791.2007248
2393,61476,06434006,Kronberg,Hochtaunuskreis,Hessen,17793,61476 Kronberg im Taunus,46020.9371790514,45448499.6149957
2394,32257,05758004,Bünde,Kreis Herford,Nordrhein-Westfalen,45534,32257 BÃ¼nde,76037.0756148743,157655219.817785
2395,35585,06532023,Wetzlar,Lahn-Dill-Kreis,Hessen,946,35585 Wetzlar,23608.8684054499,24558142.1417072
2396,68753,08215106,Waghäusel,Landkreis Karlsruhe,Baden-Württemberg,20043,68753 WaghÃ¤usel,50931.9159358139,100466321.042684
2397,64683,06431006,Einhausen,Kreis Bergstraße,Hessen,6055,64683 Einhausen,50015.3192347604,64534667.2044516
2398,35232,06534007,Dautphetal,Landkreis Marburg-Biedenkopf,Hessen,11717,35232 Dautphetal,78757.5867902389,181634441.802426
2399,28790,03356009,Schwanewede,Landkreis Osterholz,Niedersachsen,19651,28790 Schwanewede,137544.236450877,368120371.63142
2400,28777,04011000,Bremen,,Bremen,12969,28777 Bremen,32065.2043178915,39671581.6331625
2401,26954,03461007,Nordenham,Landkreis Wesermarsch,Niedersachsen,26561,26954 Nordenham,1246.71115534862,76256.4159897213
2402,27639,03352061,Wurster Nordseeküste,Landkreis Cuxhaven,Niedersachsen,17093,27639 Wurster NordseekÃ¼ste,126492.494380477,513237545.605251
2403,26935,03461009,Stadland,Landkreis Wesermarsch,Niedersachsen,4656,26935 Stadland,227.935089023758,2429.17254249241
2404,33615,05711000,Bielefeld,,Nordrhein-Westfalen,18181,33615 Bielefeld,27250.7046605514,13157887.3908048
2405,76356,08215090,Weingarten,Landkreis Karlsruhe,Baden-Württemberg,9881,76356 Weingarten,37430.6032509305,68373650.3693307
2406,35625,06532014,Hüttenberg,Lahn-Dill-Kreis,Hessen,10544,35625 HÃ¼ttenberg,55537.0026687329,101740336.833393
2407,27499,02000000,Hamburg,,Hamburg,8,27499 Neuwerk,12534.4026651493,10212278.5874388
2408,72294,08237032,Grömbach,Landkreis Freudenstadt,Baden-Württemberg,655,72294 GrÃ¶mbach,26526.1562310457,27887075.5418887
2409,68775,08226037,Ketsch,Rhein-Neckar-Kreis,Baden-Württemberg,12604,68775 Ketsch,38120.8565431468,38706430.8493566
2410,33617,05711000,Bielefeld,,Nordrhein-Westfalen,9744,33617 Bielefeld,24696.00029124,16022339.7406091
2411,26954,03461007,Nordenham,Landkreis Wesermarsch,Niedersachsen,26561,26954 Nordenham,824.830323821271,46485.5254906437
2412,78727,08325045,Oberndorf am Neckar,Landkreis Rottweil,Baden-Württemberg,13809,78727 Oberndorf am Neckar,69305.7622337729,126253205.322239
2413,68309,08222000,Mannheim,,Baden-Württemberg,29639,68309 Mannheim,32241.1045262692,28651770.1486589
2414,68519,06431020,Viernheim,Kreis Bergstraße,Hessen,32608,68519 Viernheim,45368.735029661,117150820.169104
2415,64572,06433003,Büttelborn,Kreis Groß-Gerau,Hessen,13592,64572 BÃ¼ttelborn,44227.923279634,73092290.1825928
2416,61350,06434001,Bad Homburg vor der Höhe,Hochtaunuskreis,Hessen,21470,61350 Bad Homburg v.d. HÃ¶he,44231.4303269946,70475091.732303
2417,59969,06635005,Bromskirchen,Landkreis Waldeck-Frankenberg,Hessen,6345,"59969 Bromskirchen, Hallenberg",115281.174824253,253588533.153517
2418,68219,08222000,Mannheim,,Baden-Württemberg,22843,68219 Mannheim,35361.7892846512,37948647.8945831
2419,27612,03352032,Loxstedt,Landkreis Cuxhaven,Niedersachsen,15962,27612 Loxstedt,110092.251734276,387311987.330616
2420,32130,05758008,Enger,Kreis Herford,Nordrhein-Westfalen,20511,32130 Enger,62865.3216737498,109275356.81539
2421,49419,03251044,Wagenfeld,Landkreis Diepholz,Niedersachsen,7027,49419 Wagenfeld,101732.079538784,317380719.212249
2422,76327,08215101,Pfinztal,Landkreis Karlsruhe,Baden-Württemberg,17633,76327 Pfinztal,47244.5529900876,72169305.3854056
2423,78054,08326074,Villingen-Schwenningen,Schwarzwald-Baar-Kreis,Baden-Württemberg,19203,78054 Villingen-Schwenningen,23748.081866503,19974477.6240292
2424,27572,04012000,Bremerhaven,,Bremen,10600,27572 Bremerhaven,47506.7197185223,68022257.5301783
2425,33613,05711000,Bielefeld,,Nordrhein-Westfalen,24221,33613 Bielefeld,28820.0019921458,13621661.4107093
2426,65843,06436012,Sulzbach,Main-Taunus-Kreis,Hessen,8304,65843 Sulzbach (Taunus),24091.3522955222,19001873.9827912
2427,27628,03352060,Hagen im Bremischen,Landkreis Cuxhaven,Niedersachsen,11173,27628 Hagen,142013.7258261,547121844.249437
2428,35075,06534010,Gladenbach,Landkreis Marburg-Biedenkopf,Hessen,12245,35075 Gladenbach,69962.7649465279,183010702.494647
2429,64546,06433008,Mörfelden-Walldorf,Kreis Groß-Gerau,Hessen,32383,64546 MÃ¶rfelden-Walldorf,62190.7177830371,106595284.061145
2430,76689,08215103,Karlsdorf-Neuthard,Landkreis Karlsruhe,Baden-Württemberg,9906,76689 Karlsdorf-Neuthard,35129.0267652043,32728318.2720451
2431,78073,08326003,Bad Dürrheim,Schwarzwald-Baar-Kreis,Baden-Württemberg,12315,78073 Bad DÃ¼rrheim,81391.0483906457,138538509.58669
2432,65929,06412000,Frankfurt am Main,,Hessen,28067,65929 Frankfurt am Main,32922.8249269159,32556017.1834764
2433,25859,01054050,Hallig Hooge,Kreis Nordfriesland,Schleswig-Holstein,114,25859 Hallig Hooge,2414.95313590126,275311.607554084
2434,27580,04012000,Bremerhaven,,Bremen,12452,27580 Bremerhaven,38319.5874904013,33665299.6569313
2435,35583,06532023,Wetzlar,Lahn-Dill-Kreis,Hessen,2045,35583 Wetzlar Garbeinheim,15809.5026947972,10143453.4347162
2436,76646,08215009,Bruchsal,Landkreis Karlsruhe,Baden-Württemberg,42131,76646 Bruchsal,39289.7138772919,27380156.4230627
2437,68259,08222000,Mannheim,,Baden-Württemberg,21672,68259 Mannheim,31916.6573335376,32596291.6477984
2438,35584,06532023,Wetzlar,Lahn-Dill-Kreis,Hessen,3728,35584 Wetzlar,27023.7856826534,17744346.4863732
2439,25859,01054050,Hallig Hooge,Kreis Nordfriesland,Schleswig-Holstein,114,25859 Hallig Hooge,21332.1718297852,16862692.1714137
2440,65824,06436011,Schwalbach,Main-Taunus-Kreis,Hessen,14729,65824 Schwalbach am Taunus,24593.2602543919,15599137.9132257
2441,68809,08226059,Neulußheim,Rhein-Neckar-Kreis,Baden-Württemberg,6540,68809 NeuluÃŸheim,16201.8302411919,7592866.61267541
2442,27607,03352062,Geestland,Landkreis Cuxhaven,Niedersachsen,18514,27607 Geestland,119174.3686669,345851745.602232
2443,64653,06431016,Lorsch,Kreis Bergstraße,Hessen,12954,64653 Lorsch,51068.7861379777,60107018.2906555
2444,35510,06440005,Butzbach,Wetteraukreis,Hessen,23912,35510 Butzbach,100533.486422522,262374233.422543
2445,72178,08237074,Waldachtal,Landkreis Freudenstadt,Baden-Württemberg,5769,72178 Waldachtal,48026.1616398306,67918635.5638022
2446,76646,08215009,Bruchsal,Landkreis Karlsruhe,Baden-Württemberg,42131,76646 Bruchsal,67131.3214907712,189311035.681143
2447,76707,08215029,Hambrücken,Landkreis Karlsruhe,Baden-Württemberg,5491,76707 HambrÃ¼cken,27363.8695180059,25698838.3802167
2448,75210,08236070,Keltern,Enzkreis,Baden-Württemberg,9087,75210 Keltern,47636.0024350108,69044537.1663724
2449,60549,06412000,Frankfurt am Main,,Hessen,12,60549 Frankfurt am Main,36214.8571437479,54651043.1462054
2450,32339,05770008,Espelkamp,Kreis Minden-Lübbecke,Nordrhein-Westfalen,24891,32339 Espelkamp,76347.0862073614,225495111.733949
2451,75305,08236043,Neuenbürg,Enzkreis,Baden-Württemberg,7417,75305 NeuenbÃ¼rg,53186.1283563336,65052847.8692349
2452,61273,06434002,Friedrichsdorf,Hochtaunuskreis,Hessen,9274,61273 Wehrheim,57044.1706114692,93864812.0666444
2453,32369,05770040,Rahden,Kreis Minden-Lübbecke,Nordrhein-Westfalen,15752,32369 Rahden,99843.3734348163,369638200.985893
2454,35088,06635004,Battenberg,Landkreis Waldeck-Frankenberg,Hessen,5480,35088 Battenberg,90513.6356053868,152522237.151407
2455,33602,05711000,Bielefeld,,Nordrhein-Westfalen,16421,33602 Bielefeld,20579.2829305632,7144544.68476006
2456,35444,06531002,Biebertal,Landkreis Gießen,Hessen,10035,35444 Biebertal,63319.0445444739,109467923.518803
2457,78083,08326010,Dauchingen,Schwarzwald-Baar-Kreis,Baden-Württemberg,3581,78083 Dauchingen,32227.8768936203,22498529.6386994
2458,78056,08326074,Villingen-Schwenningen,Schwarzwald-Baar-Kreis,Baden-Württemberg,14548,78056 Villingen-Schwenningen,50377.162882251,52945605.4844566
2459,64347,06432008,Griesheim,Landkreis Darmstadt-Dieburg,Hessen,25498,64347 Griesheim,35515.8590557399,51553555.2807087
2460,27568,04011000,Bremen,,Bremen,15379,"27568 Bremerhaven, Bremen",37404.6284916635,29018290.7596525
2461,78662,08325009,Bösingen,Landkreis Rottweil,Baden-Württemberg,3422,78662 BÃ¶singen,42835.7041729675,50639833.1397776
2462,72296,08237061,Schopfloch,Landkreis Freudenstadt,Baden-Württemberg,2632,72296 Schopfloch,20159.9042780162,15191864.5222295
2463,68239,08222000,Mannheim,,Baden-Württemberg,15027,68239 Mannheim,24698.5953918868,21043418.4419299
2464,79798,08337060,Jestetten,Landkreis Waldshut,Baden-Württemberg,4896,79798 Jestetten,44512.1580867016,45412639.0986404
2465,33689,05711000,Bielefeld,,Nordrhein-Westfalen,20957,33689 Bielefeld,50616.4622407749,66062490.3288897
2466,68799,08226068,Reilingen,Rhein-Neckar-Kreis,Baden-Württemberg,7174,68799 Reilingen,41391.4916476055,38421674.8275575
2467,33611,05711000,Bielefeld,,Nordrhein-Westfalen,17276,33611 Bielefeld,28663.9934367423,12751928.3917813
2468,72296,08237061,Schopfloch,Landkreis Freudenstadt,Baden-Württemberg,2632,72296 Schopfloch,25736.2023936757,23498683.1087317
2469,25863,01054074,Langeneß,Kreis Nordfriesland,Schleswig-Holstein,112,25863 LangeneÃŸ,41725.2583323214,30311829.4503205
2470,35428,06531009,Langgöns,Landkreis Gießen,Hessen,11671,35428 LanggÃ¶ns,78025.5457856376,128911898.681367
2471,33604,05711000,Bielefeld,,Nordrhein-Westfalen,16116,33604 Bielefeld,32635.202434358,11117550.477018
2472,65760,06436003,Eschborn,Main-Taunus-Kreis,Hessen,20317,65760 Eschborn,29581.0442119115,29414527.7599669
2473,68723,08226062,Oftersheim,Rhein-Neckar-Kreis,Baden-Württemberg,41978,68723 Schwetzingen,56415.4861175392,93826862.7608434
2474,32312,05770020,Lübbecke,Kreis Minden-Lübbecke,Nordrhein-Westfalen,25519,32312 LÃ¼bbecke,68073.2592659501,173834875.140386
2475,35633,06532015,Lahnau,Lahn-Dill-Kreis,Hessen,8102,35633 Lahnau,40428.8140968639,59991988.6802933
2476,75196,08236071,Remchingen,Enzkreis,Baden-Württemberg,11602,75196 Remchingen,45663.2576996367,55698770.5530018
2477,27809,03461006,Lemwerder,Landkreis Wesermarsch,Niedersachsen,7015,27809 Lemwerder,51704.3717559242,101050162.73044
2478,64319,06432018,Pfungstadt,Landkreis Darmstadt-Dieburg,Hessen,23823,64319 Pfungstadt,46023.0938894821,100944620.48626
2479,72213,08235006,Altensteig,Landkreis Calw,Baden-Württemberg,10273,72213 Altensteig,106265.01579754,121531270.856333
2480,33607,05711000,Bielefeld,,Nordrhein-Westfalen,17319,33607 Bielefeld,27436.8904451264,10813431.0997476
2481,35102,06534013,Lohra,Landkreis Marburg-Biedenkopf,Hessen,5639,35102 Lohra,65229.7958061595,119437812.858703
2482,78652,08325072,Deißlingen,Landkreis Rottweil,Baden-Württemberg,5983,78652 DeiÃŸlingen,49319.6549459596,72099560.2600819
2483,79807,08337070,Lottstetten,Landkreis Waldshut,Baden-Württemberg,2102,79807 Lottstetten,28702.3724862904,29459292.1727247
2484,33609,05711000,Bielefeld,,Nordrhein-Westfalen,21251,33609 Bielefeld,37651.5224692019,26694477.5559784
2485,75045,08215089,Walzbachtal,Landkreis Karlsruhe,Baden-Württemberg,9177,75045 Walzbachtal,52078.5973559543,85542698.5132269
2486,35581,06532023,Wetzlar,Lahn-Dill-Kreis,Hessen,2368,35581 Wetzlar,18490.0877099174,13687120.4912524
2487,75389,08235050,Neuweiler,Landkreis Calw,Baden-Württemberg,3123,75389 Neuweiler,62087.9999449685,116803008.433925
2488,68549,08226036,Ilvesheim,Rhein-Neckar-Kreis,Baden-Württemberg,8476,68549 Ilvesheim,19737.5715249156,13942546.2333628
2489,64625,06431002,Bensheim,Kreis Bergstraße,Hessen,39242,64625 Bensheim,76064.7928875209,137396395.145113
2490,72172,08325057,Sulz am Neckar,Landkreis Rottweil,Baden-Württemberg,11853,72172 Sulz am Neckar,94430.3546711042,198554479.973037
2491,72160,08237040,Horb am Neckar,Landkreis Freudenstadt,Baden-Württemberg,24829,72160 Horb am Neckar,103927.327052224,271818624.469394
2492,25849,01054103,Pellworm,Kreis Nordfriesland,Schleswig-Holstein,1232,"25849 SÃ¼deroog, Pellworm",7589.93408651661,1949562.44092547
2493,78628,08325049,Rottweil,Landkreis Rottweil,Baden-Württemberg,24400,78628 Rottweil,12113.2367170402,3761339.67673526
2494,60529,06412000,Frankfurt am Main,,Hessen,20099,60529 Frankfurt am Main,25699.7869510546,32304513.3967576
2495,72299,08237072,Wörnersberg,Landkreis Freudenstadt,Baden-Württemberg,236,72299 WÃ¶rnersberg,15374.2706418687,7820151.29039308
2496,61449,06434010,Steinbach,Hochtaunuskreis,Hessen,10058,61449 Steinbach (Taunus),24220.8410048347,10575809.9890796
2497,65936,06412000,Frankfurt am Main,,Hessen,15625,65936 Frankfurt am Main,17617.1842212627,14892190.1423175
2498,33605,05711000,Bielefeld,,Nordrhein-Westfalen,18678,33605 Bielefeld,31229.8702788738,22678212.5461076
2499,64331,06432023,Weiterstadt,Landkreis Darmstadt-Dieburg,Hessen,23627,64331 Weiterstadt,49577.4259922436,82774360.9691897
2500,75339,08235035,Höfen an der Enz,Landkreis Calw,Baden-Württemberg,1619,75339 HÃ¶fen an der Enz,21365.1840588051,20930608.3903422
2501,25924,01054166,Emmelsbüll-Horsbüll,Kreis Nordfriesland,Schleswig-Holstein,2586,25924 RodenÃ¤s,99423.4725762482,241384272.351938
2502,78667,08325060,Villingendorf,Landkreis Rottweil,Baden-Württemberg,3249,78667 Villingendorf,25798.375270745,20947819.2368753
2503,78736,08325015,Epfendorf,Landkreis Rottweil,Baden-Württemberg,3322,78736 Epfendorf,59349.8109820766,66942274.848918
2504,28779,04011000,Bremen,,Bremen,17977,28779 Bremen,30607.5584404322,23274244.0281997
2505,32609,05770016,Hüllhorst,Kreis Minden-Lübbecke,Nordrhein-Westfalen,13210,32609 HÃ¼llhorst,66219.1048620402,119541715.828434
2506,64665,06432001,Alsbach-Hähnlein,Landkreis Darmstadt-Dieburg,Hessen,9109,64665 Alsbach-HÃ¤hnlein,35748.2597450721,38670937.8081127
2507,33609,05711000,Bielefeld,,Nordrhein-Westfalen,21251,33609 Bielefeld,4557.14886366485,1027901.89794787
2508,27476,03352011,Cuxhaven,Landkreis Cuxhaven,Niedersachsen,10143,27476 Cuxhaven,60721.3662717673,128381759.981582
2509,65934,06412000,Frankfurt am Main,,Hessen,17477,65934 Frankfurt am Main,13294.7962199648,8275460.78630794
2510,35398,06531005,Gießen,Landkreis Gießen,Hessen,16375,35398 GieÃŸen,52415.1135113773,56703658.1670078
2511,34508,06635022,Willingen (Upland),Landkreis Waldeck-Frankenberg,Hessen,6019,34508 Willingen (Upland),87085.4043056075,205162794.579109
2512,33758,05754036,Schloß Holte-Stukenbrock,Kreis Gütersloh,Nordrhein-Westfalen,26473,33758 SchloÃŸ Holte-Stukenbrock,74622.8905475579,177179403.017938
2513,32051,05758012,Herford,Kreis Herford,Nordrhein-Westfalen,17891,32051 Herford,57798.3449002976,76672648.9429429
2514,68229,08222000,Mannheim,,Baden-Württemberg,5285,68229 Mannheim,16222.9065234243,11932083.0882555
2515,64295,06411000,Darmstadt,,Hessen,16687,64295 Darmstadt,33053.0192623891,37333393.4524856
2516,64404,06432003,Bickenbach,Landkreis Darmstadt-Dieburg,Hessen,5432,64404 Bickenbach,22510.0903039018,22428251.9725245
2517,64673,06431022,Zwingenberg,Kreis Bergstraße,Hessen,6595,64673 Zwingenberg,24130.3930078894,13526597.1687118
2518,76694,08215021,Forst,Landkreis Karlsruhe,Baden-Württemberg,7717,76694 Forst,27144.0902885274,26855372.2365156
2519,68789,08226103,St. Leon-Rot,Rhein-Neckar-Kreis,Baden-Württemberg,12633,68789 Sankt Leon-Rot,38859.4814804875,59925666.5100458
2520,78628,08325049,Rottweil,Landkreis Rottweil,Baden-Württemberg,24400,78628 Rottweil,98326.211200528,157371646.015817
2521,75217,08236004,Birkenfeld,Enzkreis,Baden-Württemberg,10194,75217 Birkenfeld,40660.052172149,43962679.8278743
2522,33729,05711000,Bielefeld,,Nordrhein-Westfalen,18243,33729 Bielefeld,47433.6312922319,45081324.9029767
2523,61381,06434002,Friedrichsdorf,Hochtaunuskreis,Hessen,24223,61381 Friedrichsdorf,46467.4649591499,73487264.3256893
2524,68526,08226038,Ladenburg,Rhein-Neckar-Kreis,Baden-Württemberg,11317,68526 Ladenburg,31508.8932007755,44957533.7725151
2525,35582,06532023,Wetzlar,Lahn-Dill-Kreis,Hessen,3027,35582 Wetzlar,18719.9775923598,12370264.7453192
2526,33699,05711000,Bielefeld,,Nordrhein-Westfalen,12462,33699 Bielefeld,50314.4100529767,53053098.9635715
2527,33161,05774024,Hövelhof,Kreis Paderborn,Nordrhein-Westfalen,15736,33161 HÃ¶velhof,72820.1311898361,185473104.729771
2528,75394,08235055,Oberreichenbach,Landkreis Calw,Baden-Württemberg,2772,75394 Oberreichenbach,42535.8660102533,82639669.0429757
2529,68542,08226028,Heddesheim,Rhein-Neckar-Kreis,Baden-Württemberg,11124,68542 Heddesheim,30222.2423232181,32309705.38481
2530,27576,04012000,Bremerhaven,,Bremen,12855,27576 Bremerhaven,25528.6332156334,16149800.7307248
2531,69123,08221000,Heidelberg,,Baden-Württemberg,18293,69123 Heidelberg,39171.1509042659,41094071.4182721
2532,68535,08226105,Edingen-Neckarhausen,Rhein-Neckar-Kreis,Baden-Württemberg,13678,68535 Edingen-Neckarhausen,28538.2272522675,27195109.2379257
2533,76669,08215100,Bad Schönborn,Landkreis Karlsruhe,Baden-Württemberg,12168,76669 Bad SchÃ¶nborn,50928.494379274,56396009.7866894
2534,27478,03352011,Cuxhaven,Landkreis Cuxhaven,Niedersachsen,12310,27478 Cuxhaven,98385.1848494613,282734991.077575
2535,76698,08215084,Ubstadt-Weiher,Landkreis Karlsruhe,Baden-Württemberg,12777,76698 Ubstadt-Weiher,51687.0410277279,85380886.032984
2536,65933,06412000,Frankfurt am Main,,Hessen,22187,65933 Frankfurt am Main,16709.7554878957,12011908.1398477
2537,27570,04012000,Bremerhaven,,Bremen,20327,27570 Bremerhaven,28225.4326525885,13891786.0917721
2538,61348,06434001,Bad Homburg vor der Höhe,Hochtaunuskreis,Hessen,13333,61348 Bad Homburg v.d. HÃ¶he,25464.3198783477,11408763.941317
2539,75203,08236076,Königsbach-Stein,Enzkreis,Baden-Württemberg,9742,75203 KÃ¶nigsbach-Stein,49080.5115871197,78174364.6243612
2540,78609,08326061,Tuningen,Schwarzwald-Baar-Kreis,Baden-Württemberg,2858,78609 Tuningen,25864.9911836935,34832111.2342715
2541,33719,05711000,Bielefeld,,Nordrhein-Westfalen,18292,33719 Bielefeld,41306.9892587608,42801568.9754208
2542,27755,03401000,Delmenhorst,,Niedersachsen,16876,27755 Delmenhorst,49462.3108046745,52034062.7737687
2543,28755,04011000,Bremen,,Bremen,14837,28755 Bremen,24561.3320149206,14848567.4896283
2544,27753,03401000,Delmenhorst,,Niedersachsen,23631,27753 Delmenhorst,29768.465558239,25895304.2600106
2545,76709,08215039,Kronau,Landkreis Karlsruhe,Baden-Württemberg,5529,76709 Kronau,21721.6734460181,25547225.8542857
2546,25826,01054113,Sankt Peter-Ording,Kreis Nordfriesland,Schleswig-Holstein,3932,25826 Sankt Peter-Ording,79409.2115468126,130851306.138486
2547,35108,06635001,Allendorf,Landkreis Waldeck-Frankenberg,Hessen,5636,35108 Allendorf,57948.7027926521,104489089.133641
2548,60488,06412000,Frankfurt am Main,,Hessen,19506,60488 Frankfurt am Main,23637.1898565775,17600611.4609738
2549,35452,06531007,Heuchelheim,Landkreis Gießen,Hessen,7260,35452 Heuchelheim,27114.1249544734,25934951.2499775
2550,60489,06412000,Frankfurt am Main,,Hessen,16988,60489 Frankfurt am Main,16808.266402177,9155753.77957956
2551,72227,08235022,Egenhausen,Landkreis Calw,Baden-Württemberg,1956,72227 Egenhausen,27609.009271194,22845751.7560792
2552,75328,08235065,Schömberg,Landkreis Calw,Baden-Württemberg,7835,75328 SchÃ¶mberg,54891.1871044566,85634451.1241974
2553,78187,08327018,Geisingen,Landkreis Tuttlingen,Baden-Württemberg,5991,78187 Geisingen,75129.2658307619,163829021.377896
2554,32278,05758020,Kirchlengern,Kreis Herford,Nordrhein-Westfalen,16123,32278 Kirchlengern,65164.8529249519,89880386.9304474
2555,25849,01054103,Pellworm,Kreis Nordfriesland,Schleswig-Holstein,1232,"25849 SÃ¼deroog, Pellworm",49872.238659264,110573734.616154
2556,59964,05958028,Medebach,Hochsauerlandkreis,Nordrhein-Westfalen,7998,59964 Medebach,91218.6638132642,320815555.638561
2557,60439,06412000,Frankfurt am Main,,Hessen,35056,60439 Frankfurt am Main,22850.8262761031,22091681.5632498
2558,64646,06431011,Heppenheim,Kreis Bergstraße,Hessen,24878,64646 Heppenheim (BergstraÃŸe),51131.3181039061,119657377.177291
2559,69502,08226031,Hemsbach,Rhein-Neckar-Kreis,Baden-Württemberg,11927,69502 Hemsbach,35922.3617358082,30557061.7332071
2560,63263,06438009,Neu-Isenburg,Landkreis Offenbach,Hessen,34716,63263 Neu-Isenburg,51550.6345715138,58724559.4573924
2561,27578,04012000,Bremerhaven,,Bremen,21252,27578 Bremerhaven,24457.4140306915,22891065.0719212
2562,32120,05758016,Hiddenhausen,Kreis Herford,Nordrhein-Westfalen,19861,32120 Hiddenhausen,43394.7039886065,63302477.965184
2563,35083,06534021,Wetter,Landkreis Marburg-Biedenkopf,Hessen,9026,35083 Wetter,92548.4136040568,259402815.135348
2564,61191,06440023,Rosbach v. d. Höhe,Wetteraukreis,Hessen,11931,61191 Rosbach v.d. HÃ¶he,66121.7041649023,110720866.376316
2565,69514,08226040,Laudenbach,Rhein-Neckar-Kreis,Baden-Württemberg,6082,69514 Laudenbach,32817.6417048529,23412298.5521948
2566,64390,06432006,Erzhausen,Landkreis Darmstadt-Dieburg,Hessen,7478,64390 Erzhausen,25415.8000549561,17846590.9671323
2567,69190,08226095,Walldorf,Rhein-Neckar-Kreis,Baden-Württemberg,14349,69190 Walldorf,30250.7035833801,46842238.6651972
2568,75236,08236074,Kämpfelbach,Enzkreis,Baden-Württemberg,6352,75236 KÃ¤mpfelbach,26011.0544354041,31456072.7811454
2569,72221,08235032,Haiterbach,Landkreis Calw,Baden-Württemberg,5632,72221 Haiterbach,40552.1066539488,65925727.3978953
2570,60528,06412000,Frankfurt am Main,,Hessen,22825,60528 Frankfurt am Main,34763.49949403,44309138.0490054
